,stock,epoch,train_loss,valid_loss
0,LMT,71,1.1666295449686004e-06,6.829629910498625e-07
1,NOC,67,1.5579583987346268e-06,9.637769835535437e-07
2,HII,86,2.2498243197333068e-06,2.065070020762505e-06
3,BAH,50,1.5341595371864969e-06,2.149203055523685e-06
4,STLD,87,3.144064294247073e-06,2.3403520117426524e-06
5,MLI,100,3.7622487525368342e-06,2.7833395961351926e-06
6,AR,55,5.657295787386829e-06,4.615395482687745e-06
7,NFE,100,7.063641987770097e-06,4.7981329771573655e-06
8,PBR,52,3.0948624498705612e-06,5.33643651579041e-06
9,FTI,44,6.945751920284238e-06,5.718619831895921e-06
